time,moisture0,moisture1,moisture2,moisture3,moisture4
474,0.22,0.95,0.37,0.14,0.04
475,0.22,0.96,0.37,0.14,0.04
476,0.22,0.96,0.37,0.14,0.04
477,0.22,0.96,0.37,0.13,0.04
478,0.26,0.95,0.39,0.16,0.06
479,0.22,0.96,0.37,0.13,0.04
480,0.22,0.96,0.37,0.13,0.04
481,0.22,0.96,0.37,0.14,0.04
482,0.22,0.96,0.37,0.14,0.04
483,0.22,0.96,0.37,0.14,0.04
484,0.22,0.96,0.37,0.14,0.04
485,0.22,0.96,0.37,0.14,0.04
486,0.22,0.96,0.37,0.13,0.04
487,0.22,0.96,0.38,0.13,0.04
488,0.22,0.96,0.38,0.13,0.05
489,0.21,0.96,0.38,0.14,0.04
490,0.21,0.96,0.38,0.14,0.04
491,0.21,0.96,0.38,0.14,0.04
492,0.21,0.96,0.38,0.13,0.04
493,0.21,0.96,0.38,0.13,0.04
494,0.21,0.96,0.38,0.13,0.04
495,0.21,0.96,0.38,0.14,0.04
496,0.21,0.96,0.39,0.14,0.04
497,0.21,0.96,0.39,0.14,0.04
498,0.21,0.96,0.39,0.14,0.04
499,0.25,0.96,0.41,0.16,0.06
500,0.21,0.96,0.39,0.14,0.04
501,0.21,0.96,0.39,0.14,0.04
502,0.21,0.96,0.4,0.14,0.04
503,0.22,0.96,0.39,0.14,0.04
504,0.22,0.96,0.39,0.14,0.04
505,0.22,0.96,0.4,0.14,0.04
506,0.22,0.96,0.4,0.14,0.04
507,0.22,0.96,0.4,0.14,0.04
508,0.22,0.96,0.4,0.14,0.04
509,0.22,0.96,0.4,0.18,0.06
510,0.22,0.96,0.4,0.13,0.04
511,0.22,0.96,0.4,0.14,0.04
512,0.22,0.96,0.4,0.14,0.04
513,0.22,0.96,0.4,0.14,0.04
514,0.22,0.96,0.4,0.14,0.04
515,0.2,0.95,0.4,0.12,0.03
516,0.21,0.95,0.4,0.13,0.04
517,0.21,0.94,0.4,0.14,0.04
518,0.21,0.94,0.4,0.14,0.04
519,0.21,0.94,0.4,0.15,0.04
520,0.22,0.93,0.4,0.15,0.04
521,0.21,0.95,0.4,0.14,0.03
522,0.21,0.94,0.4,0.14,0.03
523,0.21,0.95,0.4,0.14,0.03
524,0.21,0.95,0.4,0.13,0.03
525,0.21,0.95,0.4,0.13,0.04
526,0.21,0.95,0.4,0.13,0.04
527,0.21,0.95,0.41,0.13,0.03
528,0.21,0.95,0.41,0.13,0.03
529,0.21,0.95,0.41,0.13,0.03
530,0.21,0.95,0.41,0.17,0.04
531,0.2,0.95,0.41,0.13,0.03
532,0.2,0.95,0.41,0.13,0.03
533,0.2,0.95,0.41,0.13,0.03
534,0.2,0.95,0.41,0.13,0.03
535,0.2,0.95,0.41,0.12,0.03
536,0.2,0.95,0.41,0.12,0.03
537,0.21,0.95,0.41,0.12,0.03
538,0.21,0.95,0.41,0.12,0.03
539,0.21,0.95,0.41,0.12,0.03
540,0.21,0.95,0.41,0.12,0.03
541,0.22,0.94,0.41,0.13,0.04
542,0.21,0.95,0.41,0.13,0.03
543,0.21,0.95,0.41,0.13,0.03
544,0.21,0.95,0.41,0.13,0.03
545,0.21,0.93,0.41,0.13,0.03
546,0.21,0.93,0.41,0.12,0.03
547,0.21,0.94,0.41,0.12,0.03
548,0.21,0.93,0.41,0.12,0.03
549,0.21,0.94,0.41,0.12,0.03
550,0.21,0.94,0.41,0.13,0.03
551,0.21,0.93,0.41,0.17,0.04
552,0.21,0.94,0.41,0.14,0.03
553,0.2,0.94,0.42,0.14,0.03
554,0.2,0.92,0.42,0.13,0.03
555,0.2,0.94,0.42,0.13,0.03
556,0.2,0.94,0.42,0.13,0.03
557,0.2,0.95,0.42,0.13,0.03
558,0.2,0.95,0.42,0.13,0.03
559,0.2,0.95,0.42,0.12,0.03
560,0.21,0.94,0.42,0.12,0.03
561,0.2,0.94,0.42,0.12,0.03
562,0.22,0.94,0.42,0.13,0.04
563,0.2,0.95,0.42,0.12,0.03
564,0.2,0.95,0.42,0.12,0.03
565,0.2,0.95,0.42,0.12,0.03
566,0.2,0.95,0.42,0.12,0.03
567,0.2,0.95,0.42,0.12,0.03
568,0.2,0.95,0.42,0.13,0.03
569,0.2,0.95,0.42,0.13,0.03
570,0.2,0.95,0.42,0.12,0.03
571,0.2,0.95,0.42,0.12,0.03
572,0.2,0.95,0.44,0.15,0.04
573,0.2,0.95,0.42,0.12,0.03
574,0.2,0.95,0.42,0.12,0.03
575,0.2,0.95,0.42,0.12,0.03
576,0.2,0.95,0.42,0.12,0.03
577,0.2,0.95,0.44,0.12,0.03
578,0.2,0.95,0.44,0.12,0.03
579,0.2,0.95,0.43,0.13,0.03
580,0.2,0.95,0.43,0.14,0.03
581,0.2,0.95,0.43,0.14,0.03
582,0.2,0.95,0.43,0.13,0.03
583,0.2,0.95,0.43,0.13,0.03
584,0.2,0.95,0.43,0.13,0.03
585,0.2,0.95,0.43,0.13,0.03
586,0.2,0.95,0.43,0.13,0.03
587,0.2,0.95,0.43,0.13,0.03
588,0.2,0.95,0.43,0.13,0.03
589,0.2,0.95,0.43,0.13,0.03
590,0.2,0.95,0.43,0.13,0.03
591,0.2,0.95,0.43,0.12,0.03
592,0.2,0.95,0.43,0.12,0.03
593,0.2,0.95,0.43,0.16,0.04
594,0.2,0.94,0.43,0.12,0.03
